ANIO,ENTIDAD_FEDERATIVA,CREDITO_PENSIONADOS
2007,AGUASCALIENTES,28
2007,BAJA CALIFORNIA,1
2007,BAJA CALIFORNIA SUR,3
2007,CAMPECHE,2
2007,CHIAPAS,0
2007,CHIHUAHUA,31
2007,COAHUILA,19
2007,COLIMA,7
2007,DISTRITO FEDERAL,55
2007,DURANGO,2
2007,GUANAJUATO,19
2007,GUERRERO,2
2007,HIDALGO,35
2007,JALISCO,24
2007,MEXICO,143
2007,MICHOACAN,22
2007,MORELOS,105
2007,NAYARIT,13
2007,NUEVO LEON,4
2007,OAXACA,1
2007,PUEBLA,36
2007,QUERETARO,30
2007,QUINTANA ROO,3
2007,SAN LUIS POTOSI,13
2007,SINALOA,4
2007,SONORA,4
2007,TABASCO,1
2007,TAMAULIPAS,16
2007,TLAXCALA,0
2007,VERACRUZ,13
2007,YUCATAN,10
2007,ZACATECAS,18
2008,AGUASCALIENTES,89
2008,BAJA CALIFORNIA,12
2008,BAJA CALIFORNIA SUR,63
2008,CAMPECHE,16
2008,CHIAPAS,60
2008,CHIHUAHUA,110
2008,COAHUILA,133
2008,COLIMA,129
2008,DISTRITO FEDERAL,289
2008,DURANGO,50
2008,GUANAJUATO,106
2008,GUERRERO,169
2008,HIDALGO,162
2008,JALISCO,173
2008,MEXICO,315
2008,MICHOACAN,118
2008,MORELOS,303
2008,NAYARIT,68
2008,NUEVO LEON,61
2008,OAXACA,89
2008,PUEBLA,197
2008,QUERETARO,173
2008,QUINTANA ROO,49
2008,SAN LUIS POTOSI,126
2008,SINALOA,70
2008,SONORA,107
2008,TABASCO,34
2008,TAMAULIPAS,93
2008,TLAXCALA,70
2008,VERACRUZ,174
2008,YUCATAN,218
2008,ZACATECAS,88
2009,AGUASCALIENTES,34
2009,BAJA CALIFORNIA,78
2009,BAJA CALIFORNIA SUR,40
2009,CAMPECHE,9
2009,CHIAPAS,76
2009,CHIHUAHUA,77
2009,COAHUILA,88
2009,COLIMA,42
2009,DISTRITO FEDERAL,148
2009,DURANGO,25
2009,GUANAJUATO,103
2009,GUERRERO,145
2009,HIDALGO,113
2009,JALISCO,83
2009,MEXICO,232
2009,MICHOACAN,95
2009,MORELOS,213
2009,NAYARIT,48
2009,NUEVO LEON,60
2009,OAXACA,40
2009,PUEBLA,134
2009,QUERETARO,138
2009,QUINTANA ROO,36
2009,SAN LUIS POTOSI,91
2009,SINALOA,50
2009,SONORA,78
2009,TABASCO,10
2009,TAMAULIPAS,54
2009,TLAXCALA,34
2009,VERACRUZ,145
2009,YUCATAN,144
2009,ZACATECAS,49
2010,AGUASCALIENTES,103
2010,BAJA CALIFORNIA,74
2010,BAJA CALIFORNIA SUR,79
2010,CAMPECHE,53
2010,CHIAPAS,207
2010,CHIHUAHUA,137
2010,COAHUILA,177
2010,COLIMA,128
2010,DISTRITO FEDERAL,175
2010,DURANGO,77
2010,GUANAJUATO,161
2010,GUERRERO,242
2010,HIDALGO,238
2010,JALISCO,214
2010,MEXICO,310
2010,MICHOACAN,172
2010,MORELOS,312
2010,NAYARIT,180
2010,NUEVO LEON,121
2010,OAXACA,165
2010,PUEBLA,214
2010,QUERETARO,267
2010,QUINTANA ROO,104
2010,SAN LUIS POTOSI,127
2010,SINALOA,128
2010,SONORA,216
2010,TABASCO,33
2010,TAMAULIPAS,187
2010,TLAXCALA,35
2010,VERACRUZ,298
2010,YUCATAN,249
2010,ZACATECAS,38
2011,AGUASCALIENTES,205
2011,BAJA CALIFORNIA,83
2011,BAJA CALIFORNIA SUR,66
2011,CAMPECHE,34
2011,CHIAPAS,186
2011,CHIHUAHUA,75
2011,COAHUILA,130
2011,COLIMA,72
2011,DISTRITO FEDERAL,119
2011,DURANGO,54
2011,GUANAJUATO,161
2011,GUERRERO,150
2011,HIDALGO,308
2011,JALISCO,168
2011,MEXICO,243
2011,MICHOACAN,102
2011,MORELOS,231
2011,NAYARIT,84
2011,NUEVO LEON,146
2011,OAXACA,126
2011,PUEBLA,161
2011,QUERETARO,191
2011,QUINTANA ROO,97
2011,SAN LUIS POTOSI,109
2011,SINALOA,110
2011,SONORA,279
2011,TABASCO,33
2011,TAMAULIPAS,167
2011,TLAXCALA,37
2011,VERACRUZ,223
2011,YUCATAN,257
2011,ZACATECAS,62
2012,AGUASCALIENTES,27
2012,BAJA CALIFORNIA,21
2012,BAJA CALIFORNIA SUR,25
2012,CAMPECHE,12
2012,CHIAPAS,24
2012,CHIHUAHUA,27
2012,COAHUILA,25
2012,COLIMA,13
2012,DISTRITO FEDERAL,26
2012,DURANGO,7
2012,GUANAJUATO,51
2012,GUERRERO,18
2012,HIDALGO,42
2012,JALISCO,48
2012,MEXICO,49
2012,MICHOACAN,13
2012,MORELOS,62
2012,NAYARIT,27
2012,NUEVO LEON,35
2012,OAXACA,18
2012,PUEBLA,40
2012,QUERETARO,43
2012,QUINTANA ROO,19
2012,SAN LUIS POTOSI,22
2012,SINALOA,22
2012,SONORA,42
2012,TABASCO,6
2012,TAMAULIPAS,54
2012,TLAXCALA,2
2012,VERACRUZ,50
2012,YUCATAN,65
2012,ZACATECAS,22
2013,AGUASCALIENTES,67
2013,BAJA CALIFORNIA,56
2013,BAJA CALIFORNIA SUR,48
2013,CAMPECHE,32
