ANIO,ENTIDAD_FEDERATIVA,CREDITO_TRADICIONAL
2007,AGUASCALIENTES,1060
2007,BAJA CALIFORNIA,775
2007,BAJA CALIFORNIA SUR,737
2007,CAMPECHE,349
2007,CHIAPAS,1760
2007,CHIHUAHUA,1235
2007,COAHUILA,868
2007,COLIMA,626
2007,DISTRITO FEDERAL,4919
2007,DURANGO,858
2007,GUANAJUATO,1479
2007,GUERRERO,1925
2007,HIDALGO,3404
2007,JALISCO,1594
2007,MEXICO,14244
2007,MICHOACAN,2565
2007,MORELOS,3300
2007,NAYARIT,1203
2007,NUEVO LEON,1557
2007,OAXACA,951
2007,PUEBLA,1701
2007,QUERETARO,1328
2007,QUINTANA ROO,1630
2007,SAN LUIS POTOSI,1002
2007,SINALOA,1259
2007,SONORA,955
2007,TABASCO,944
2007,TAMAULIPAS,1336
2007,TLAXCALA,461
2007,VERACRUZ,2537
2007,YUCATAN,1018
2007,ZACATECAS,1108
2008,AGUASCALIENTES,948
2008,BAJA CALIFORNIA,1884
2008,BAJA CALIFORNIA SUR,871
2008,CAMPECHE,311
2008,CHIAPAS,2130
2008,CHIHUAHUA,1333
2008,COAHUILA,1339
2008,COLIMA,562
2008,DISTRITO FEDERAL,5831
2008,DURANGO,713
2008,GUANAJUATO,1860
2008,GUERRERO,2808
2008,HIDALGO,3733
2008,JALISCO,2750
2008,MEXICO,15151
2008,MICHOACAN,2110
2008,MORELOS,4329
2008,NAYARIT,1100
2008,NUEVO LEON,1749
2008,OAXACA,1233
2008,PUEBLA,2288
2008,QUERETARO,1577
2008,QUINTANA ROO,1600
2008,SAN LUIS POTOSI,1026
2008,SINALOA,1759
2008,SONORA,1316
2008,TABASCO,1035
2008,TAMAULIPAS,1463
2008,TLAXCALA,356
2008,VERACRUZ,3642
2008,YUCATAN,1035
2008,ZACATECAS,797
2009,AGUASCALIENTES,1394
2009,BAJA CALIFORNIA,2670
2009,BAJA CALIFORNIA SUR,1366
2009,CAMPECHE,320
2009,CHIAPAS,2069
2009,CHIHUAHUA,1963
2009,COAHUILA,1656
2009,COLIMA,531
2009,DISTRITO FEDERAL,8047
2009,DURANGO,861
2009,GUANAJUATO,2757
2009,GUERRERO,2847
2009,HIDALGO,3713
2009,JALISCO,4443
2009,MEXICO,19879
2009,MICHOACAN,2689
2009,MORELOS,5388
2009,NAYARIT,1126
2009,NUEVO LEON,2126
2009,OAXACA,1120
2009,PUEBLA,2619
2009,QUERETARO,2086
2009,QUINTANA ROO,2792
2009,SAN LUIS POTOSI,1389
2009,SINALOA,2722
2009,SONORA,1955
2009,TABASCO,810
2009,TAMAULIPAS,1923
2009,TLAXCALA,446
2009,VERACRUZ,4297
2009,YUCATAN,1313
2009,ZACATECAS,620
2010,AGUASCALIENTES,1096
2010,BAJA CALIFORNIA,1493
2010,BAJA CALIFORNIA SUR,1427
2010,CAMPECHE,360
2010,CHIAPAS,2563
2010,CHIHUAHUA,1524
2010,COAHUILA,1398
2010,COLIMA,590
2010,DISTRITO FEDERAL,6435
2010,DURANGO,884
2010,GUANAJUATO,1836
2010,GUERRERO,3292
2010,HIDALGO,3208
2010,JALISCO,3303
2010,MEXICO,15893
2010,MICHOACAN,1796
2010,MORELOS,5144
2010,NAYARIT,1351
2010,NUEVO LEON,1625
2010,OAXACA,1028
2010,PUEBLA,2208
2010,QUERETARO,1808
2010,QUINTANA ROO,3183
2010,SAN LUIS POTOSI,911
2010,SINALOA,2554
2010,SONORA,1549
2010,TABASCO,518
2010,TAMAULIPAS,1316
2010,TLAXCALA,306
2010,VERACRUZ,4680
2010,YUCATAN,1847
2010,ZACATECAS,502
2011,AGUASCALIENTES,1002
2011,BAJA CALIFORNIA,1073
2011,BAJA CALIFORNIA SUR,1160
2011,CAMPECHE,297
2011,CHIAPAS,1343
2011,CHIHUAHUA,1243
2011,COAHUILA,1238
2011,COLIMA,602
2011,DISTRITO FEDERAL,4298
2011,DURANGO,876
2011,GUANAJUATO,1634
2011,GUERRERO,2000
2011,HIDALGO,2980
2011,JALISCO,2596
2011,MEXICO,11225
2011,MICHOACAN,1452
2011,MORELOS,4260
2011,NAYARIT,968
2011,NUEVO LEON,1705
2011,OAXACA,759
